repo_name,library,library_language,number_of_commits
ProjectCacophony/go-kit,unleash-client-go,Go,321
hboutemy/mcmm,launchdarkly,"Java,Kotlin",908
sohamtriveous/Feature-Toggle,toggle,"Java,Kotlin",111
launchdarkly/android-client-sdk,launchdarkly,"Java,Kotlin",218
redhat-developer/che-starter,unleash-client-java,"Java,Kotlin",383
launchdarkly/java-server-sdk,launchdarkly,"Java,Kotlin",697
tersesystems/terse-logback,launchdarkly,"Java,Kotlin",248
redhat-developer/rh-che,unleash-client-java,"Java,Kotlin",1029
navikt/spsak,unleash-client-java,"Java,Kotlin",369
navikt/mia,unleash-client-java,"Java,Kotlin",574
navikt/common-java-modules,unleash-client-java,"Java,Kotlin",2730
navikt/soknad-kontantstotte-api,unleash-client-java,"Java,Kotlin",928
navikt/soknad-kontantstotte-proxy,unleash-client-java,"Java,Kotlin",267
navikt/tiltaksgjennomforing-api,unleash-client-java,"Java,Kotlin",358
navikt/finn-kandidat-api,unleash-client-java,"Java,Kotlin",106
navikt/ditt-nav-arbeidsgiver-api,unleash-client-java,"Java,Kotlin",264
navikt/kontakt-oss-api,unleash-client-java,"Java,Kotlin",503
navikt/fp-felles,unleash-client-java,"Java,Kotlin",223
navikt/rekrutteringsbistand-api,unleash-client-java,"Java,Kotlin",172
navikt/fpinfo-historikk,unleash-client-java,"Java,Kotlin",1776
navikt/familie-ks-sak,unleash-client-java,"Java,Kotlin",164
navikt/veilarboppfolging,unleash-client-java,"Java,Kotlin",2031
navikt/veilarboppgave,unleash-client-java,"Java,Kotlin",162
navikt/foreldrepengesoknad-api,unleash-client-java,"Java,Kotlin",1606
navikt/veilarbtiltakinfo,unleash-client-java,"Java,Kotlin",152
kumuluz/kumuluzee-samples,unleash-client-java,"Java,Kotlin",481
navikt/fp-formidling,unleash-client-java,"Java,Kotlin",516
navikt/fp-abakus,unleash-client-java,"Java,Kotlin",479
isisaddons/isis-app-todoapp,Togglz,"Java,Kotlin",150
stumacsolutions/finance-manager,Togglz,"Java,Kotlin",191
faisalazam/YNaMi,Togglz,"Java,Kotlin",159
xylene1980/ciworkshop,Togglz,"Java,Kotlin",105
minlia-projects/minlia-modules,Togglz,"Java,Kotlin",276
Hobba/invitationserviceTest,Togglz,"Java,Kotlin",273
